	 t,	    x,         y,       yaw,   current,   battCap,  mBattCap,   voltage,     mVLpf,   battTem,  tEneDiss,    batLel,
 68.000000,  1.968569,  8.643655,  1.250086, -0.540000,  2.242000,  2.702000, 14.862000, 14.842968, 16.000000,  0.000000,  0.829756,  1.968569,
 69.000000,  2.021031,  8.674831,  1.440086, -0.462000,  2.242000,  2.702000, 14.862000, 14.846450, 16.000000,  0.000000,  0.829756,  2.021031,
 70.000000,  2.080263,  8.737563,  1.690086, -0.560000,  2.242000,  2.702000, 14.862000, 14.849295, 16.000000,  0.000000,  0.829756,  2.080263,
 71.000000,  2.155349,  8.775383,  2.002004, -0.619000,  2.242000,  2.702000, 14.862000, 14.851619, 16.000000,  0.000000,  0.829756,  2.155349,
 72.000000,  2.200900,  8.836060,  2.192004, -0.553000,  2.241000,  2.702000, 14.862000, 14.853518, 16.000000,  0.000000,  0.829386,  2.200900,
 73.000000,  2.209000,  8.910590,  2.383028, -0.462000,  2.241000,  2.702000, 14.862000, 14.855069, 16.000000,  0.000000,  0.829386,  2.209000,
 74.000000,  2.192938,  8.981520,  2.689562, -0.475000,  2.241000,  2.702000, 14.862000, 14.856337, 16.000000,  0.000000,  0.829386,  2.192938,
 75.000000,  2.192938,  8.981520,  2.849562, -0.267000,  2.241000,  2.702000, 14.917000, 14.861134, 16.000000,  0.000000,  0.829386,  2.192938,
 76.000000,  2.192938,  8.981520,  2.849562, -0.260000,  2.241000,  2.702000, 14.973000, 14.876092, 16.000000,  0.000000,  0.829386,  2.192938,
 77.000000,  2.192938,  8.981520,  3.009562, -0.456000,  2.241000,  2.702000, 14.945000, 14.892173, 16.000000,  0.000000,  0.829386,  2.192938,
 78.000000,  2.192938,  8.981520, -2.873623, -0.449000,  2.241000,  2.702000, 14.917000, 14.897183, 16.000000,  0.000000,  0.829386,  2.192938,
 79.000000,  2.201710,  9.054560, -2.463665, -0.449000,  2.241000,  2.702000, 14.890000, 14.896780, 16.000000,  0.000000,  0.829386,  2.201710,
 80.000000,  2.201710,  9.054560, -2.059889, -0.443000,  2.241000,  2.702000, 14.890000, 14.895539, 16.000000,  0.000000,  0.829386,  2.201710,
 81.000000,  2.201540,  9.076540, -1.817711, -0.677000,  2.240000,  2.702000, 14.834000, 14.889157, 16.000000,  0.000000,  0.829016,  2.201540,
 82.000000,  2.047440,  8.975460, -1.657711, -0.677000,  2.240000,  2.702000, 14.806000, 14.874413, 16.000000,  0.000000,  0.829016,  2.047440,
 83.000000,  1.776420,  8.712370, -1.451902, -0.658000,  2.240000,  2.702000, 14.778000, 14.857244, 16.000000,  0.000000,  0.829016,  1.776420,
